study,year,location,state,lat,lon,cultivar,planting_date,flowering,index
1,2011,Cruz Alta,RS,-28.6394,-53.6062,BRS 208,2011-06-15,2011-09-18,7.7
2,2011,Passo Fundo,RS,-28.2612,-52.4083,BRS 208,2011-06-16,2011-09-24,1.3
3,2011,Ponta Grossa,PR,-25.0945,-50.1633,BRS 208,2011-06-17,2011-09-15,1.1
4,2011,Castro,PR,-24.7922,-50.0117,BRS 208,2011-07-21,2011-10-09,13.7
5,2011,Condor,RS,-28.211,-53.4701,BRS 208,2011-06-08,2011-09-12,3.8
6,2011,Lages,SC,-27.8167,-50.3264,BRS 208,2011-08-10,2011-11-07,0.5
7,2011,Guarapuava,PR,-25.3935,-51.4562,BRS 208,2011-07-09,2011-10-06,10
8,2012,Cruz Alta,RS,-28.6394,-53.6062,BRS 208,2012-06-26,2012-09-06,4.46
9,2012,Passo Fundo,RS,-28.2612,-52.4083,BRS 208,2012-06-13,2012-09-09,0.28
10,2012,Ponta Grossa,PR,-25.0945,-50.1633,BRS 208,2012-06-29,2012-09-13,2.36
11,2012,Ponta Grossa,PR,-25.0945,-50.1633,BRS 208,2012-08-02,2012-10-06,2.26
12,2012,Capão Bonito do Sul,RS,-28.1016,-51.39,BRS 208,2012-06-20,2012-09-17,2.93
13,2013,Cruz Alta,RS,-28.6394,-53.6062,BRS 208,2013-06-07,2013-09-12,0.4
14,2013,Passo Fundo,RS,-28.2612,-52.4083,BRS 208,2013-06-07,2013-09-21,6.3
15,2013,Passo Fundo,RS,-28.2612,-52.4083,BRS 208,2013-07-04,2013-10-09,7.3
16,2013,Guarapuava,PR,-25.3935,-51.4562,CD 105,2013-07-15,2013-10-17,54.7
17,2013,Capão Bonito do Sul,RS,-28.1016,-51.39,BRS 208,2013-07-18,2013-10-26,0.8
18,2013,Giruá,RS,-28.0284,-54.3504,Campeiro,2013-05-08,2013-08-13,2.1
19,2014,Londrina,PR,-23.2927,-51.1732,BRS Graúna,2014-03-24,2014-05-11,92.2
20,2014,Passo Fundo,RS,-28.2612,-52.4083,BRS 208,2014-06-04,2014-09-07,9.3
21,2014,Cruz Alta,RS,-28.6394,-53.6062,TEC 10,2014-06-19,2014-09-10,8.8
22,2014,Palmeira,PR,-25.4342,-49.9999,Marfim,2014-06-20,2014-09-15,8.4
